# t_sec x y z
-0.0137986 0.00412334 0.00992655 0.00213803
0.0185872 0.0154243 0.000610865 -0.000305432
0.0293823 0.0146608 -0.000763581 0.000152716
0.0617686 0.0138972 0.000152716 0.00106901
0.0725637 0.0143553 0.000458149 0.00137445
0.0833589 0.0167988 0.000458149 0.00152716
0.0941543 0.0186314 0.00122173 -0.000152716
0.104949 0.0219911 0.000152716 -0.000305432
0.115745 0.0224493 -0.00106901 -0.00183259
0.12654 0.0161879 -0.000305432 -0.000610865
0.137335 0.00702494 0.00137445 0.000305432
0.148131 -0.000305432 0.000152716 0.000916297
0.158926 -0.00809396 0.00167988 0.00137445
0.169721 -0.0119119 0 -0.000916297
0.180517 -0.0192422 0.000458149 -0.000305432
0.191312 -0.0271835 0.000916297 -0.000152716
0.202107 -0.0313068 0 0.000305432
0.212903 -0.0342084 -0.000763581 0.000916297
0.223698 -0.0375682 0 0.000305432
0.234493 -0.0363465 0 0.000610865
0.245288 -0.0313068 0.000458149 -0.000305432
0.256084 -0.0290161 -0.00106901 -0.000152716
0.266879 -0.0276416 -0.000610865 -0.000610865
0.277675 -0.026878 0.000152716 -0.00106901
0.28847 -0.0300851 -0.000610865 -0.000916297
0.299265 -0.0361937 -0.000763581 -0.00106901
0.310061 -0.0427605 -0.00106901 0.000305432
0.320856 -0.0468839 0.000152716 0.00152716
0.331651 -0.0461203 0.000610865 0.00137445
0.342446 -0.0403171 0.000152716 -0.000305432
0.353242 -0.031765 -0.00183259 -0.00137445
0.364037 -0.0229074 -0.000610865 -0.00106901
0.374832 -0.0119119 0.000458149 -0.000152716
0.385628 0.00366519 0.000916297 -0.000610865
0.396423 0.02474 0.000610865 -0.00137445
0.407218 0.0461203 -0.000610865 -0.00229074
0.418014 0.0642935 -0.000763581 -0.00229074
0.428809 0.0772744 -0.00229074 -0.00351247
0.439604 0.0864374 -0.00687223 -0.00229074
0.450399 0.0923933 -0.0154243 -0.00305432
0.461195 0.0933096 -0.0201585 -0.00580322
0.47199 0.0919352 -0.0274889 -0.00870482
0.482786 0.0859792 -0.0244346 -0.0135917
0.493581 0.079107 -0.0262672 -0.020464
0.504376 0.0757472 -0.0366519 -0.0229074
0.515172 0.0745255 -0.053298 -0.0245873
0.525967 0.0737619 -0.0728456 -0.0238237
0.536762 0.0705549 -0.0838412 -0.0209221
0.547557 0.0620028 -0.0763581 -0.0174096
0.558353 0.0516181 -0.0557414 -0.0174096
0.569148 0.0403171 -0.0335976 -0.0160352
0.579943 0.0337503 -0.0132863 -0.0120646
0.590739 0.0259618 -0.00274889 -0.00671951
0.601534 0.0198531 0.00534507 -0.00183259
0.61233 0.0125227 0.0167988 0.00274889
0.623125 0.00412334 0.0331394 0.00335976
0.63392 -0.00412334 0.0519235 0.00137445
0.644715 -0.00977384 0.0653625 -0.00137445
0.655511 -0.0114537 0.0734565 -0.00580322
0.666306 -0.00885754 0.0725402 -0.0100793
0.677101 0.000458149 0.0610865 -0.0119119
0.687897 0.0105374 0.0432187 -0.0131336
0.698692 0.0212276 0.0277943 -0.014508
0.709487 0.033903 0.0151189 -0.0197004
0.720283 0.0476475 0.00534507 -0.0245873
0.731078 0.0601702 -0.00366519 -0.0284052
0.741873 0.0693332 -0.0190895 -0.0323758
0.752669 0.0749836 -0.038179 -0.0296269
0.763464 0.0754418 -0.0572686 -0.0253509
0.77426 0.0711657 -0.0633772 -0.0186314
0.785055 0.0620028 -0.0540615 -0.0100793
0.79585 0.0471893 -0.032834 -0.00137445
0.806646 0.0314595 -0.00610865 0.00702494
0.817441 0.0151189 0.0274889 0.0131336
0.828236 0.00519235 0.0542143 0.0120646
0.839031 0.00213803 0.0771217 0.00794124
0.849827 0.00534507 0.0908661 -0.00106901
0.860622 0.011301 0.0962112 -0.00962112
0.871417 0.0190895 0.0966694 -0.0180205
0.882213 0.0271835 0.0916297 -0.025809
0.893008 0.0390953 0.0759 -0.033903
0.903803 0.0537561 0.0537561 -0.038179
0.914599 0.0693332 0.0219911 -0.0397062
0.925394 0.0858265 -0.00549778 -0.0394008
0.93619 0.0972802 -0.0264199 -0.0409279
0.946985 0.105527 -0.031765 -0.0445931
0.95778 0.111177 -0.0300851 -0.0491746
0.968576 0.110872 -0.0242819 -0.0519235
0.979371 0.10797 -0.0100793 -0.0534507
0.990166 0.101709 0.00977384 -0.0540615
1.00096 0.0980438 0.0197004 -0.0531452
1.01176 0.0981965 0.0163406 -0.0491746
1.02255 0.0968221 0.0126754 -0.0438295
1.03335 0.0969748 0.0143553 -0.0404698
1.04414 0.0969748 0.0151189 -0.0394008
1.05494 0.0968221 0.0148135 -0.0368046
1.06573 0.0923933 0.0177151 -0.0319177
1.07653 0.0867428 0.0232129 -0.025809
1.08732 0.0862847 0.0148135 -0.0174096
1.09812 0.08827 -0.00229074 -0.00885754
1.10892 0.0948368 -0.032834 0.000610865
1.11971 0.108734 -0.0897971 0.0169515
1.13051 0.139277 -0.177151 0.0369573
